ID,Name ,Drink Type ,Caffeine ,gender ,memory game time before ,memory game time after,change ,
1,"TATSUYA BURKE
",Coffee,Caffeinated ,M,57.7,49,-8.7,https://islands.smp.uq.edu.au/islander.php?id=72lwbdckct
2,AARON SATO,Coffee,Caffeinated ,M,67.2,67.3,0.1,https://islands.smp.uq.edu.au/islander.php?id=fczs5c8lqa
3,FELIX SORENSEN,Coffee,Caffeinated ,M,57.3,52,-5.3,https://islands.smp.uq.edu.au/islander.php?id=y7whhvjq6d
4,DUNCAN DOCHERTY,Coffee,Caffeinated ,M,84.8,73.2,-11.6,https://islands.smp.uq.edu.au/islander.php?id=e7p7gcb9l4
5,MINEO KIKUCHI,Coffee,Caffeinated ,M,66.1,75.3,9.2,https://islands.smp.uq.edu.au/islander.php?id=ypzj78ba3p
6,PIERRICK BAGER,Coffee,Caffeinated ,M,80.2,79.7,-0.5,https://islands.smp.uq.edu.au/islander.php?id=v97geuxj2p
7,RYAN WATANABE,Coffee,Caffeinated ,M,48.9,46.4,-2.5,https://islands.smp.uq.edu.au/islander.php?id=7h9z7hkz9x
8,HERBERT MEIER,Coffee,Caffeinated ,M,46.4,50.5,4.1,https://islands.smp.uq.edu.au/islander.php?id=bbvxr5k3xy
9,JUHANI JENSEN,Coffee,Caffeinated ,M,56.5,54.6,-1.9,https://islands.smp.uq.edu.au/islander.php?id=e4tgs2r59s
10,MURDO MCINTYRE,Coffee,Caffeinated ,M,36.4,44.1,7.7,https://islands.smp.uq.edu.au/islander.php?id=4cbbjb3tc2
11,AIDAN KIMURA,Coffee,Caffeinated ,M,49.1,57.2,8.1,https://islands.smp.uq.edu.au/islander.php?id=7pnk5bmxl3
12,BRIAN MCKAY,Coffee,Caffeinated ,M,54.8,45,-9.8,https://islands.smp.uq.edu.au/islander.php?id=8hpcg6swzl
13,DAICHI MORRIS,Coffee,Caffeinated ,M,43.7,32.4,-11.3,https://islands.smp.uq.edu.au/islander.php?id=nt2gm4j658
14,ARTHUR MOORE,Coffee,Caffeinated ,M,61.1,63,1.9,https://islands.smp.uq.edu.au/islander.php?id=pe2kmnbrxz
15,CHRISTIAN THORN,Sports Drink,Caffeinated ,M,44.8,46.8,2,https://islands.smp.uq.edu.au/islander.php?id=xfrmsfgyp7
16,DAVID SVENDSEN,Sports Drink,Caffeinated ,M,72,74.9,2.9,https://islands.smp.uq.edu.au/islander.php?id=aljahnvg9g
17,JEAN BENOIT,Sports Drink,Caffeinated ,M,48,39.6,-8.4,https://islands.smp.uq.edu.au/islander.php?id=ct3qsnlxdw
18,JULIAN SOLBERG,Sports Drink,Caffeinated ,M,41.3,47.9,6.6,https://islands.smp.uq.edu.au/islander.php?id=3brqlhgla2
19,PERCIVAL SORENSEN,Sports Drink,Caffeinated ,M,77.3,80.2,2.9,https://islands.smp.uq.edu.au/islander.php?id=gtsh53h5r8
20,REMI MARTINS,Sports Drink,Caffeinated ,M,71.9,68.3,-3.6,https://islands.smp.uq.edu.au/islander.php?id=yxgeu2dgs2
21,ROBERTO GARNIER,Sports Drink,Caffeinated ,M,73.8,71,-2.8,https://islands.smp.uq.edu.au/islander.php?id=k539cy932q
22,RAJAN BAHADUR,Sports Drink,Caffeinated ,M,63.2,60,-3.2,https://islands.smp.uq.edu.au/islander.php?id=pwwhxbk73q
23,MATHIS COLLINS,Sports Drink,Caffeinated ,M,62.6,61.7,-0.9,https://islands.smp.uq.edu.au/islander.php?id=4eplgj27ax
24,MITSUHIRO YAMAGUCHI,Sports Drink,Caffeinated ,M,68.1,63.2,-4.9,https://islands.smp.uq.edu.au/islander.php?id=4pe2uypfjm
25,ALEXANDRE GAGNON,Sports Drink,Caffeinated ,M,49.6,50.8,1.2,https://islands.smp.uq.edu.au/islander.php?id=dhllgx8rh6
26,PAULO RENARD,Sports Drink,Caffeinated ,M,44.8,52.8,8,https://islands.smp.uq.edu.au/islander.php?id=td3hkk2kqp
27,SHANE SUMMERS,Sports Drink,Caffeinated ,M,108,96,-12,https://islands.smp.uq.edu.au/islander.php?id=p9pb9egx6f
28,ADAM MCCARTHY,Sports Drink,Caffeinated ,M,63,53.5,-9.5,https://islands.smp.uq.edu.au/islander.php?id=kryt963z5t
29,GEN KIMURA,Energy Drink,Caffeinated ,M,67.7,66.1,-1.6,https://islands.smp.uq.edu.au/islander.php?id=eyanp9vknu
30,PAUL IBSEN,Energy Drink,Caffeinated ,M,60.1,58.7,-1.4,https://islands.smp.uq.edu.au/islander.php?id=3tqe9dzcyb
31,AADESH MISHRA,Energy Drink,Caffeinated ,M,88.1,84.2,-3.9,https://islands.smp.uq.edu.au/islander.php?id=mu9c3nj6bs
32,FRED CHEVALIER,Energy Drink,Caffeinated ,M,57.5,55.7,-1.8,https://islands.smp.uq.edu.au/islander.php?id=4unjv2axql
33,PIERRICK EKLUND,Energy Drink,Caffeinated ,M,70.9,63,-7.9,https://islands.smp.uq.edu.au/islander.php?id=p9f5lzzcp6
34,MICHAEL REGAN,Energy Drink,Caffeinated ,M,67.7,55.9,-11.8,https://islands.smp.uq.edu.au/islander.php?id=ktp7zkbcg6
